416,Balakrishnampatti,T.P.,33,Tamil Nadu,15,Tiruchirappalli
417,Balakrishnapuram,T.P.,33,Tamil Nadu,13,Dindigul
418,Balangir,M,21,Orissa,24,Balangir
419,Balapallam,T.P.,33,Tamil Nadu,30,Kanniyakumari
420,Balapur,M.Cl.,27,Maharashtra,5,Akola
421,Balaram Pota,C.T.,19,West Bengal,16,Haora 
422,Balarampur,C.T.,19,West Bengal,14,Puruliya
423,Balarampur,C.T.,19,West Bengal,18,South Twentyfour Parganas
424,Balasamudram,T.P.,33,Tamil Nadu,13,Dindigul
425,Balasinor,M,24,Gujarat,16,Kheda
426,Baldeo,N.P.,9,Uttar Pradesh,14,Mathura
427,Baldeogarh,N.P.,23,Madhya Pradesh,8,Tikamgarh
428,Baleshwar,M,21,Orissa,8,Baleshwar
429,Bali,M,8,Rajasthan,20,Pali
430,Baliari,C.T.,20,Jharkhand,12,Dhanbad
431,Balichak,C.T.,19,West Bengal,15,Medinipur 
432,Balimela,N.A.C.,21,Orissa,30,Malkangiri
433,Balkundra,C.T.,20,Jharkhand,4,Hazaribag
434,Ballarpur,M.Cl.,27,Maharashtra,13,Chandrapur
435,Ballavpur,C.T.,19,West Bengal,9,Barddhaman 
436,Ballia,M.B.,9,Uttar Pradesh,63,Ballia
437,Bally,M,19,West Bengal,16,Haora 
438,Bally,C.T.,19,West Bengal,16,Haora 
439,Balod,N.P.,22,Chhattisgarh,10,Durg
440,Baloda,N.P.,22,Chhattisgarh,6,Janjgir-Champa
441,Baloda Bazar,N.P.,22,Chhattisgarh,11,Raipur
442,Balotra,M,8,Rajasthan,17,Barmer
